1,1160892,2019/12/1
3,1160892,2019/12/3
4,1160892,2019/12/4
5,1160892,2019/12/5
6,1160892,2019/12/6
9,1160892,2019/12/9
2,1346775,2019/12/2
3,1346775,2019/12/3
4,1346775,2019/12/4
5,1346775,2019/12/5
6,1346775,2019/12/6
7,1346775,2019/12/7
8,1346775,2019/12/8
9,1346775,2019/12/9
10,1346775,2019/12/10
1,1403104,2019/12/1
2,1403104,2019/12/2
3,1403104,2019/12/3
4,1403104,2019/12/4
6,1403104,2019/12/6
7,1403104,2019/12/7
9,1403104,2019/12/9
10,1403104,2019/12/10
2,1467497,2019/12/2
3,1467497,2019/12/3
4,1467497,2019/12/4
5,1467497,2019/12/5
6,1467497,2019/12/6
7,1467497,2019/12/7
8,1467497,2019/12/8
9,1467497,2019/12/9
2,1523648,2019/12/2
4,1523648,2019/12/4
5,1523648,2019/12/5
8,1523648,2019/12/8
10,1523648,2019/12/10
1,1565250,2019/12/1
2,1565250,2019/12/2
3,1565250,2019/12/3
4,1565250,2019/12/4
5,1565250,2019/12/5
7,1565250,2019/12/7
9,1565250,2019/12/9
10,1565250,2019/12/10
1,1657549,2019/12/1
2,1657549,2019/12/2
5,1657549,2019/12/5
6,1657549,2019/12/6
7,1657549,2019/12/7
8,1657549,2019/12/8
10,1657549,2019/12/10
1,1879925,2019/12/1
2,1879925,2019/12/2
3,1879925,2019/12/3
4,1879925,2019/12/4
5,1879925,2019/12/5
6,1879925,2019/12/6
8,1879925,2019/12/8
9,1879925,2019/12/9
10,1879925,2019/12/10
1,2027426,2019/12/1
2,2027426,2019/12/2
3,2027426,2019/12/3
4,2027426,2019/12/4
5,2027426,2019/12/5
6,2027426,2019/12/6
8,2027426,2019/12/8
1,2324437,2019/12/1
2,2324437,2019/12/2
3,2324437,2019/12/3
4,2324437,2019/12/4
5,2324437,2019/12/5
7,2324437,2019/12/7
8,2324437,2019/12/8
10,2324437,2019/12/10
1,2399878,2019/12/1
2,2399878,2019/12/2
3,2399878,2019/12/3
5,2399878,2019/12/5
6,2399878,2019/12/6
7,2399878,2019/12/7
9,2399878,2019/12/9
10,2399878,2019/12/10
1,2585712,2019/12/1
2,2585712,2019/12/2
3,2585712,2019/12/3
4,2585712,2019/12/4
5,2585712,2019/12/5
7,2585712,2019/12/7
8,2585712,2019/12/8
9,2585712,2019/12/9
10,2585712,2019/12/10
1,2833914,2019/12/1
2,2833914,2019/12/2
3,2833914,2019/12/3
4,2833914,2019/12/4
6,2833914,2019/12/6
7,2833914,2019/12/7
8,2833914,2019/12/8
9,2833914,2019/12/9
1,3074343,2019/12/1
2,3074343,2019/12/2
3,3074343,2019/12/3
5,3074343,2019/12/5
6,3074343,2019/12/6
7,3074343,2019/12/7
8,3074343,2019/12/8
9,3074343,2019/12/9
1,3209663,2019/12/1
4,3209663,2019/12/4
5,3209663,2019/12/5
6,3209663,2019/12/6
7,3209663,2019/12/7
9,3209663,2019/12/9
1,3211260,2019/12/1
2,3211260,2019/12/2
4,3211260,2019/12/4
5,3211260,2019/12/5
7,3211260,2019/12/7
8,3211260,2019/12/8
9,3211260,2019/12/9
10,3211260,2019/12/10
2,3461139,2019/12/2
4,3461139,2019/12/4
6,3461139,2019/12/6
7,3461139,2019/12/7
9,3461139,2019/12/9
10,3461139,2019/12/10
2,3558987,2019/12/2
3,3558987,2019/12/3
6,3558987,2019/12/6
7,3558987,2019/12/7
8,3558987,2019/12/8
9,3558987,2019/12/9
10,3558987,2019/12/10
1,3665823,2019/12/1
3,3665823,2019/12/3
4,3665823,2019/12/4
5,3665823,2019/12/5
6,3665823,2019/12/6
7,3665823,2019/12/7
8,3665823,2019/12/8
9,3665823,2019/12/9
10,3665823,2019/12/10
1,3745525,2019/12/1
2,3745525,2019/12/2
3,3745525,2019/12/3
4,3745525,2019/12/4
6,3745525,2019/12/6
7,3745525,2019/12/7
8,3745525,2019/12/8
9,3745525,2019/12/9
1,3836827,2019/12/1
2,3836827,2019/12/2
3,3836827,2019/12/3
5,3836827,2019/12/5
6,3836827,2019/12/6
8,3836827,2019/12/8
9,3836827,2019/12/9
2,3946460,2019/12/2
4,3946460,2019/12/4
5,3946460,2019/12/5
6,3946460,2019/12/6
8,3946460,2019/12/8
9,3946460,2019/12/9
1,4113360,2019/12/1
2,4113360,2019/12/2
3,4113360,2019/12/3
4,4113360,2019/12/4
5,4113360,2019/12/5
7,4113360,2019/12/7
9,4113360,2019/12/9
2,4188883,2019/12/2
3,4188883,2019/12/3
4,4188883,2019/12/4
7,4188883,2019/12/7
8,4188883,2019/12/8
9,4188883,2019/12/9
10,4188883,2019/12/10
1,4215525,2019/12/1
2,4215525,2019/12/2
3,4215525,2019/12/3
4,4215525,2019/12/4
6,4215525,2019/12/6
7,4215525,2019/12/7
8,4215525,2019/12/8
10,4215525,2019/12/10
1,4289003,2019/12/1
3,4289003,2019/12/3
4,4289003,2019/12/4
6,4289003,2019/12/6
7,4289003,2019/12/7
8,4289003,2019/12/8
10,4289003,2019/12/10
1,4420310,2019/12/1
2,4420310,2019/12/2
3,4420310,2019/12/3
5,4420310,2019/12/5
6,4420310,2019/12/6
7,4420310,2019/12/7
8,4420310,2019/12/8
9,4420310,2019/12/9
10,4420310,2019/12/10
1,4475334,2019/12/1
2,4475334,2019/12/2
3,4475334,2019/12/3
4,4475334,2019/12/4
5,4475334,2019/12/5
6,4475334,2019/12/6
7,4475334,2019/12/7
8,4475334,2019/12/8
9,4475334,2019/12/9
10,4475334,2019/12/10
1,4584536,2019/12/1
2,4584536,2019/12/2
3,4584536,2019/12/3
6,4584536,2019/12/6
7,4584536,2019/12/7
8,4584536,2019/12/8
9,4584536,2019/12/9
10,4584536,2019/12/10
1,4907753,2019/12/1
2,4907753,2019/12/2
3,4907753,2019/12/3
4,4907753,2019/12/4
5,4907753,2019/12/5
7,4907753,2019/12/7
9,4907753,2019/12/9
1,4922530,2019/12/1
2,4922530,2019/12/2
3,4922530,2019/12/3
5,4922530,2019/12/5
7,4922530,2019/12/7
8,4922530,2019/12/8
10,4922530,2019/12/10
2,5218346,2019/12/2
3,5218346,2019/12/3
4,5218346,2019/12/4
5,5218346,2019/12/5
6,5218346,2019/12/6
7,5218346,2019/12/7
9,5218346,2019/12/9
10,5218346,2019/12/10
1,5341240,2019/12/1
2,5341240,2019/12/2
3,5341240,2019/12/3
8,5341240,2019/12/8
9,5341240,2019/12/9
10,5341240,2019/12/10
2,5387415,2019/12/2
3,5387415,2019/12/3
4,5387415,2019/12/4
5,5387415,2019/12/5
6,5387415,2019/12/6
7,5387415,2019/12/7
8,5387415,2019/12/8
9,5387415,2019/12/9
10,5387415,2019/12/10
1,5660894,2019/12/1
3,5660894,2019/12/3
4,5660894,2019/12/4
5,5660894,2019/12/5
6,5660894,2019/12/6
8,5660894,2019/12/8
9,5660894,2019/12/9
10,5660894,2019/12/10
2,6192260,2019/12/2
4,6192260,2019/12/4
6,6192260,2019/12/6
9,6192260,2019/12/9
1,6296851,2019/12/1
3,6296851,2019/12/3
4,6296851,2019/12/4
5,6296851,2019/12/5
7,6296851,2019/12/7
9,6296851,2019/12/9
10,6296851,2019/12/10
1,6501512,2019/12/1
3,6501512,2019/12/3
4,6501512,2019/12/4
5,6501512,2019/12/5
6,6501512,2019/12/6
8,6501512,2019/12/8
9,6501512,2019/12/9
10,6501512,2019/12/10
1,6579076,2019/12/1
3,6579076,2019/12/3
4,6579076,2019/12/4
6,6579076,2019/12/6
7,6579076,2019/12/7
8,6579076,2019/12/8
10,6579076,2019/12/10
1,7284103,2019/12/1
3,7284103,2019/12/3
4,7284103,2019/12/4
6,7284103,2019/12/6
7,7284103,2019/12/7
8,7284103,2019/12/8
10,7284103,2019/12/10
1,7360253,2019/12/1
2,7360253,2019/12/2
3,7360253,2019/12/3
4,7360253,2019/12/4
5,7360253,2019/12/5
6,7360253,2019/12/6
7,7360253,2019/12/7
8,7360253,2019/12/8
9,7360253,2019/12/9
10,7360253,2019/12/10
1,7373313,2019/12/1
2,7373313,2019/12/2
3,7373313,2019/12/3
4,7373313,2019/12/4
5,7373313,2019/12/5
7,7373313,2019/12/7
8,7373313,2019/12/8
1,7738934,2019/12/1
3,7738934,2019/12/3
5,7738934,2019/12/5
6,7738934,2019/12/6
8,7738934,2019/12/8
1,7954063,2019/12/1
2,7954063,2019/12/2
4,7954063,2019/12/4
5,7954063,2019/12/5
6,7954063,2019/12/6
8,7954063,2019/12/8
9,7954063,2019/12/9
10,7954063,2019/12/10
